Ticker,Name,Sector,Industry,Price,P_Target,Prob_Up %,Analyst_recomm,Buy_percent,Sell_percent,Analysts_number
BTCY,"Biotricity, Inc.",Healthcare,Medical Devices,0.62,2.0,222.58,buy,100.0,0.0,1
SES.MI,SESA,Technology,Information Technology Services,114.0,174.6,53.16,buy,100.0,0.0,2
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,125.25,140.25,11.98,buy,81.48,0.0,27
TXT,Textron Inc.,Industrials,Aerospace & Defense,64.91,80.18,23.52,buy,60.0,13.33,15
MULTI.OL,MULTICONSULT,Industrials,Engineering & Construction,153.0,195.0,27.45,buy,33.33,0.0,3
REZI,"Resideo Technologies, Inc.",Industrials,Security & Protection Services,17.21,22.67,31.73,hold,100.0,0.0,1
GLYC,"GlycoMimetics, Inc.",Healthcare,Biotechnology,1.87,5.5,194.12,buy,100.0,0.0,5
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,20.28,32.95,62.48,strong_buy,92.86,0.0,14
7532.T,PAN PACIFIC INTL HLDGS CORP,Consumer Defensive,Discount Stores,2497.5,2942.3,17.81,buy,86.67,0.0,15
PD,"PagerDuty, Inc.",Technology,Software—Application,21.39,30.98,44.83,buy,81.82,0.0,11
RGR,"Sturm, Ruger & Company, Inc.",Industrials,Aerospace & Defense,52.38,67.0,27.91,buy,50.0,0.0,2
XPOF,"Xponential Fitness, Inc.",Consumer Cyclical,Leisure,25.6,39.5,54.3,buy,91.67,0.0,12
7240.T,NOK CORP,Consumer Cyclical,Auto Parts,2049.0,1788.0,-12.74,hold,30.0,0.0,10
BILI,Bilibili Inc.,Communication Services,Electronic Gaming & Multimedia,14.94,22.56,51.0,buy,100.0,0.0,3
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,24.08,31.29,29.94,buy,68.75,6.25,16
6866.T,HIOKI E.E. CORP,Technology,Scientific & Technical Instruments,8860.0,9700.0,9.48,buy,0.0,0.0,1
GSBD,"Goldman Sachs BDC, Inc.",Financial Services,Asset Management,13.88,13.75,-0.94,hold,16.67,16.67,6
SAVE,"Spirit Airlines, Inc.",Industrials,Airlines,16.18,23.33,44.19,hold,35.71,7.14,14
GPN,Global Payments Inc.,Industrials,Specialty Business Services,98.84,136.91,38.52,buy,76.47,2.94,34
TWKS,"Thoughtworks Holding, Inc.",Technology,Information Technology Services,7.09,8.75,23.41,buy,54.55,0.0,11
UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,35.74,37.04,3.64,hold,60.0,20.0,10
MBK.WA,MBANK,Financial Services,Banks—Regional,385.8,375.71,-2.62,buy,7.14,71.43,14
EGP,"EastGroup Properties, Inc.",Real Estate,REIT—Industrial,165.02,179.15,8.56,buy,14.29,14.29,14
CRBG,Corebridge Financial Inc.,Financial Services,Asset Management,16.76,25.0,49.16,buy,71.43,0.0,14
TYRA,"Tyra Biosciences, Inc.",Healthcare,Biotechnology,17.51,23.0,31.35,strong_buy,100.0,0.0,5
ONCT,"Oncternal Therapeutics, Inc.",Healthcare,Biotechnology,0.34,1.9,458.82,hold,16.67,0.0,6
BBGI,"Beasley Broadcast Group, Inc.",Communication Services,Broadcasting,0.93,2.13,129.03,strong_buy,100.0,0.0,1
SAMPO.HE,Sampo Plc A,Financial Services,Insurance—Diversified,41.07,49.2,19.8,buy,37.5,20.83,24
6432.T,TAKEUCHI MFG CO,Industrials,Farm & Heavy Construction Machinery,4365.0,3620.0,-17.07,buy,60.0,0.0,5
9041.T,KINTETSU GROUP HOLDINGS CO LTD,Industrials,Conglomerates,5069.0,5300.0,4.56,hold,50.0,0.0,2
AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,0.89,1.75,96.63,buy,33.33,0.0,3
ADN1.DE,ADESSO SE  INH O.N.,Technology,Information Technology Services,121.2,199.4,64.52,strong_buy,100.0,0.0,3
AMI.AX,AURELIA FPO,Basic Materials,Other Industrial Metals & Mining,0.09,0.26,188.89,strong_buy,100.0,0.0,1
PHX.TO,PHX ENERGY SERVICES CORP.,Energy,Oil & Gas Drilling,5.93,8.7,46.71,buy,60.0,0.0,5
1802.T,OBAYASHI CORP,Industrials,Engineering & Construction,1206.5,1016.3,-15.76,hold,54.55,18.18,11
DQ,DAQO New Energy Corp.,Technology,Semiconductor Equipment & Materials,37.77,59.09,56.45,buy,66.67,0.0,3
9107.T,KAWASAKI KISEN KAISHA,Industrials,Marine Shipping,3223.0,3325.7,3.19,hold,0.0,58.33,12
CCBG,Capital City Bank Group,Financial Services,Banks—Regional,31.0,35.6,14.84,buy,0.0,20.0,5
SNA,Snap-On Incorporated,Industrials,Tools & Accessories,273.62,250.91,-8.3,hold,77.78,0.0,9
SLF,Sun Life Financial Inc.,Financial Services,Insurance—Diversified,50.34,56.05,11.34,hold,100.0,0.0,2
FATH,Fathom Digital Manufacturing Co,Technology,Computer Hardware,0.34,0.87,155.88,buy,50.0,0.0,4
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,608.76,557.68,-8.39,buy,84.21,0.0,19
HTH,Hilltop Holdings Inc.,Financial Services,Banks—Regional,30.44,31.0,1.84,hold,50.0,16.67,6
CHGG,"Chegg, Inc.",Consumer Defensive,Education & Training Services,8.87,14.45,62.91,hold,77.78,0.0,9
AQZ.AX,AAVIATION FPO,Industrials,Airports & Air Services,2.8,4.32,54.29,buy,100.0,0.0,4
SOLO,Electrameccanica Vehicles Corp.,Consumer Cyclical,Auto Manufacturers,0.7,0.9,28.57,hold,33.33,0.0,3
APDN,"Applied DNA Sciences, Inc.",Healthcare,Diagnostics & Research,1.36,4.0,194.12,buy,100.0,0.0,1
TCSA3.SA,TECNISA     ON      NM,Real Estate,Real Estate—Development,3.83,3.12,-18.54,hold,0.0,40.0,5
6923.T,STANLEY ELECTRIC CO,Consumer Cyclical,Auto Parts,2871.0,3414.3,18.92,buy,58.33,0.0,12
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,57.23,71.63,25.16,buy,69.23,3.85,26
RCL,D/B/A Royal Caribbean Cruises L,Consumer Cyclical,Travel Services,97.92,92.58,-5.45,buy,77.27,0.0,22
ERIC,Ericsson,Technology,Communication Equipment,5.04,5.06,0.4,hold,33.33,16.67,12
MIPS.ST,Mips AB,Consumer Cyclical,Leisure,495.8,534.0,7.7,hold,100.0,0.0,1
PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices,33.25,49.86,49.95,buy,87.5,0.0,8
ORN,"Orion Group Holdings, Inc.",Industrials,Engineering & Construction,2.42,4.33,78.93,buy,100.0,0.0,4
BZU.MI,BUZZI UNICEM,Basic Materials,Building Materials,22.86,25.9,13.3,buy,86.67,6.67,15
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,69.8,107.59,54.14,buy,0.0,0.0,1
FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,7.79,8.5,9.11,buy,50.0,16.67,12
CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,17.63,22.5,27.62,hold,0.0,0.0,1
PRO,"PROS Holdings, Inc.",Technology,Software—Application,28.56,37.43,31.06,buy,42.86,0.0,7
FULT,Fulton Financial Corporation,Financial Services,Banks—Regional,12.0,14.29,19.08,hold,0.0,10.0,10
IVS.MI,IVS GROUP,Consumer Cyclical,Specialty Retail,4.89,4.8,-1.84,strong_buy,100.0,0.0,2
CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,1.47,8.0,444.22,buy,100.0,0.0,5
EBR,Centrais Electricas Brasileiras,Utilities,Utilities—Regulated Electric,8.32,9.4,12.98,strong_buy,100.0,0.0,1
LCUT,"Lifetime Brands, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",5.11,11.17,118.59,strong_buy,100.0,0.0,1
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense,20.39,29.88,46.54,buy,87.5,0.0,8
VALE3.SA,VALE        ON      NM,Basic Materials,Other Industrial Metals & Mining,65.9,93.96,42.58,buy,100.0,0.0,4
ALIT,"Alight, Inc.",Technology,Software—Application,8.83,13.93,57.76,buy,100.0,0.0,7
MRTX,"Mirati Therapeutics, Inc.",Healthcare,Biotechnology,37.23,66.29,78.06,buy,80.0,0.0,5
ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Other Precious Metals & Mining,0.66,1.8,172.73,buy,100.0,0.0,4
EMMA,EMMAUS LIFE SCIENCES INC NEW,Healthcare,Biotechnology,0.28,4.0,1328.57,buy,100.0,0.0,1
GLTO,"Galecto, Inc.",Healthcare,Biotechnology,2.56,12.0,368.75,strong_buy,100.0,0.0,6
AIG,"American International Group, I",Financial Services,Insurance—Diversified,55.22,68.69,24.39,buy,52.63,10.53,19
IPH.AX,IPHLIMITED FPO,Industrials,Specialty Business Services,7.83,10.07,28.61,buy,83.33,0.0,6
AVA,Avista Corporation,Utilities,Utilities—Diversified,38.42,40.2,4.63,hold,0.0,33.33,3
RNA,"Avidity Biosciences, Inc.",Healthcare,Biotechnology,11.4,37.0,224.56,buy,87.5,0.0,8
ING.AX,INGHAMS FPO,Consumer Defensive,Farm Products,2.65,3.12,17.74,buy,75.0,0.0,8
9956.T,VALOR HOLDINGS CO LTD,Consumer Cyclical,Department Stores,1967.0,2570.0,30.66,buy,50.0,0.0,4
GTLB,GitLab Inc.,Technology,Software—Application,48.66,55.0,13.03,buy,77.78,0.0,18
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,737.9,731.0,-0.94,hold,8.33,25.0,24
ZEV,"Lightning eMotors, Inc",Industrials,Farm & Heavy Construction Machinery,3.64,30.5,737.91,hold,60.0,20.0,5
HFR.AX,HIGHFIELD FPO,Basic Materials,Agricultural Inputs,0.51,1.5,194.12,none,75.0,0.0,4
CCU,"Compania Cervecerias Unidas, S.",Consumer Defensive,Beverages—Brewers,16.04,17.63,9.91,buy,12.5,25.0,8
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,26.41,32.38,22.61,buy,64.71,0.0,17
JELD,"JELD-WEN Holding, Inc.",Industrials,Building Products & Equipment,16.19,15.04,-7.1,hold,76.92,0.0,13
WAT,Waters Corporation,Healthcare,Diagnostics & Research,259.84,312.71,20.35,hold,33.33,6.67,15
TRMK,Trustmark Corporation,Financial Services,Banks—Regional,21.68,27.1,25.0,hold,0.0,0.0,7
CTD.AX,CORP TRAV FPO,Consumer Cyclical,Travel Services,18.07,21.92,21.31,buy,57.14,0.0,7
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,46.35,50.43,8.8,buy,83.33,0.0,18
6622.T,DAIHEN CORP,Industrials,Specialty Industrial Machinery,5430.0,6140.0,13.08,buy,75.0,0.0,4
SG,"Sweetgreen, Inc.",Consumer Cyclical,Restaurants,10.88,10.71,-1.56,buy,0.0,0.0,1
ALX,"Alexander's, Inc.",Real Estate,REIT—Retail,177.52,140.0,-21.14,underperform,0.0,0.0,1
UIS,Unisys Corporation New,Technology,Information Technology Services,4.05,5.5,35.8,buy,75.0,0.0,4
SATS,EchoStar Corporation,Technology,Communication Equipment,17.02,24.0,41.01,buy,80.0,0.0,5
CRAI,"CRA International,Inc.",Industrials,Consulting Services,99.28,131.5,32.45,buy,50.0,0.0,2
MBC,"MasterBrand, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",11.06,13.0,17.54,buy,50.0,0.0,2
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks—Regional,25.47,36.0,41.34,buy,47.83,8.7,23
SCHN,"Schnitzer Steel Industries, Inc",Basic Materials,Steel,31.18,34.0,9.04,buy,0.0,0.0,3
SQZ,SQZ Biotechnologies Company,Healthcare,Biotechnology,0.4,19.0,4650.0,buy,66.67,0.0,3
DFIN,"Donnelley Financial Solutions, ",Financial Services,Capital Markets,42.43,48.33,13.91,buy,40.0,0.0,5
MRFG3.SA,MARFRIG     ON      NM,Consumer Defensive,Packaged Foods,7.45,13.95,87.25,hold,22.22,22.22,9
EVFM,"Evofem Biosciences, Inc.",Healthcare,Biotechnology,0.9,225.0,24900.0,buy,100.0,0.0,1
EFTR,"eFFECTOR Therapeutics, Inc.",Healthcare,Biotechnology,0.83,7.38,789.16,buy,75.0,0.0,4
LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,283.43,293.75,3.64,buy,66.67,8.33,12
SGTX,"Sigilon Therapeutics, Inc.",Healthcare,Biotechnology,3.91,58.67,1400.51,buy,75.0,0.0,4
GMAB,Genmab A/S,Healthcare,Biotechnology,38.38,44.3,15.42,hold,40.0,10.0,10
CDNS,"Cadence Design Systems, Inc.",Technology,Software—Application,225.32,232.32,3.11,buy,33.33,11.11,9
CFEB.BR,CFE,Industrials,Engineering & Construction,9.09,11.2,23.21,hold,50.0,0.0,4
FTEK,"Fuel Tech, Inc.",Industrials,Pollution & Treatment Controls,1.32,4.0,203.03,buy,100.0,0.0,1
BPTS,Biophytis SA,Healthcare,Biotechnology,2.58,150.0,5713.95,buy,100.0,0.0,1
CFLT,"Confluent, Inc.",Technology,Software—Infrastructure,33.13,37.79,14.07,buy,68.18,0.0,22
IBRX,"ImmunityBio, Inc.",Healthcare,Biotechnology,2.69,4.5,67.29,buy,50.0,0.0,2
PATK,"Patrick Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",74.56,81.14,8.83,buy,83.33,0.0,6
ARQQ,Arqit Quantum Inc.,Technology,Software—Infrastructure,1.18,7.38,525.42,buy,50.0,0.0,2
BKD,Brookdale Senior Living Inc.,Healthcare,Medical Care Facilities,3.9,5.49,40.77,hold,83.33,16.67,6
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,36.19,39.33,8.68,buy,60.0,0.0,5
6143.T,SODICK CO LTD,Industrials,Specialty Industrial Machinery,719.0,810.0,12.66,hold,100.0,0.0,5
OTLC,ONCOTELIC THERAPEUTICS INC,Healthcare,Biotechnology,0.03,4.0,13233.33,buy,100.0,0.0,1
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,141.49,146.93,3.84,hold,25.0,5.0,20
FNA,"Paragon 28, Inc.",Healthcare,Medical Devices,17.96,27.29,51.95,buy,100.0,0.0,7
XXL.OL,XXL,Consumer Cyclical,Specialty Retail,2.19,1.83,-16.44,underperform,90.0,0.0,10
FRBK,"Republic First Bancorp, Inc.",Financial Services,Banks—Regional,0.94,2.5,165.96,hold,0.0,0.0,2
FNCH,"Finch Therapeutics Group, Inc.",Healthcare,Biotechnology,8.08,150.0,1756.44,buy,100.0,0.0,2
2659.T,SAN-A CO LTD,Consumer Cyclical,Department Stores,4595.0,5500.0,19.7,none,100.0,0.0,1
9072.T,NIKKON HOLDINGS CO LTD,Industrials,Integrated Freight & Logistics,2796.0,3000.0,7.3,none,0.0,0.0,2
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,374.25,414.32,10.71,buy,51.43,5.71,35
MYPS,"PLAYSTUDIOS, Inc.",Communication Services,Electronic Gaming & Multimedia,4.69,5.72,21.96,buy,66.67,11.11,9
SOFO,"Sonic Foundry, Inc.",Technology,Software—Application,1.1,3.0,172.73,buy,100.0,0.0,1
AVAH,Aveanna Healthcare Holdings Inc,Healthcare,Medical Care Facilities,1.85,1.38,-25.41,hold,11.11,22.22,9
2292.T,S FOODS INC,Consumer Defensive,Farm Products,3170.0,3700.0,16.72,buy,100.0,0.0,5
DAWN,"Day One Biopharmaceuticals, Inc",Healthcare,Biotechnology,12.43,40.67,227.19,buy,81.82,9.09,11
CMPS,COMPASS Pathways Plc - American,Healthcare,Medical Care Facilities,7.86,42.3,438.17,buy,100.0,0.0,11
IIPR,Innovative Industrial Propertie,Real Estate,REIT—Industrial,70.59,109.8,55.55,buy,100.0,0.0,2
KNOS.L,KAINOS GROUP PLC ORD 0.5P,Technology,Software—Application,1273.0,1514.75,18.99,hold,100.0,0.0,3
FA,First Advantage Corporation,Industrials,Specialty Business Services,14.15,14.79,4.52,hold,33.33,0.0,9
BCBP,"BCB Bancorp, Inc. (NJ)",Financial Services,Banks—Regional,11.97,14.25,19.05,hold,100.0,0.0,2
SNX,TD SYNNEX Corporation,Technology,Electronics & Computer Distribution,96.21,116.55,21.14,buy,71.43,0.0,7
MS,Morgan Stanley,Financial Services,Capital Markets,83.58,96.41,15.35,buy,62.96,3.7,27
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT—Retail,17.71,21.0,18.58,hold,100.0,0.0,2
CNO,"CNO Financial Group, Inc.",Financial Services,Insurance—Life,22.19,25.6,15.37,hold,12.5,12.5,8
CNDT,Conduent Incorporated,Technology,Information Technology Services,3.17,4.64,46.37,buy,37.5,0.0,8
LNC,Lincoln National Corporation,Financial Services,Insurance—Life,23.78,24.0,0.93,hold,46.15,7.69,13
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,77.11,84.31,9.34,hold,21.74,4.35,23
CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,16.6,21.35,28.61,buy,0.0,100.0,1
JBT,John Bean Technologies Corporat,Industrials,Specialty Industrial Machinery,116.39,114.5,-1.62,buy,70.0,0.0,10
GBOOF,GRUPO FINANCIERO BANORTE,Financial Services,Banks—Regional,7.85,2.34,-70.19,strong_buy,100.0,0.0,1
FROG,JFrog Ltd.,Technology,Software—Application,26.54,27.2,2.49,buy,71.43,0.0,14
BSIG,BrightSphere Investment Group I,Financial Services,Asset Management,20.33,24.33,19.68,hold,33.33,0.0,3
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,4.98,7.03,41.16,buy,27.27,9.09,11
MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services,27.05,37.13,37.26,buy,37.5,25.0,8
7261.T,MAZDA MOTOR CORP,Consumer Cyclical,Auto Manufacturers,1365.0,1390.0,1.83,buy,35.0,15.0,20
GNTA,Genenta Science S.p.A.,Healthcare,Biotechnology,5.62,20.75,269.22,buy,100.0,0.0,4
MSLH.L,MARSHALLS PLC ORD 25P,Basic Materials,Building Materials,239.4,423.71,76.99,buy,62.5,0.0,8
A2A.MI,A2A,Utilities,Utilities—Diversified,1.64,1.9,15.85,buy,50.0,12.5,8
6644.T,OSAKI ELECTRIC CO,Technology,Scientific & Technical Instruments,553.0,700.0,26.58,buy,100.0,0.0,2
TOI,"The Oncology Institute, Inc.",Healthcare,Medical Care Facilities,0.56,4.0,614.29,strong_buy,100.0,0.0,2
SLP,"Simulations Plus, Inc.",Healthcare,Health Information Services,45.41,59.33,30.65,strong_buy,100.0,0.0,1
DNO.OL,DNO,Energy,Oil & Gas E&P,9.56,17.35,81.49,buy,63.64,27.27,11
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,4.75,17.59,270.32,buy,75.0,0.0,4
BNTX,BioNTech SE,Healthcare,Biotechnology,107.14,168.48,57.25,buy,58.82,0.0,17
BPOST.BR,BPOST,Industrials,Integrated Freight & Logistics,4.14,4.9,18.36,hold,21.43,14.29,14
AGN.AS,AEGON,Financial Services,Insurance—Diversified,4.51,5.3,17.52,hold,16.67,12.5,24
BSL.DE,BASLER AG O.N.,Technology,Consumer Electronics,17.48,30.6,75.06,buy,20.0,20.0,5
VVPR,VivoPower International PLC,Technology,Solar,0.68,5.0,635.29,buy,100.0,0.0,1
IIIV,"i3 Verticals, Inc.",Technology,Software—Infrastructure,21.83,31.17,42.79,buy,100.0,0.0,3
INBK,First Internet Bancorp,Financial Services,Banks—Regional,14.82,18.0,21.46,hold,100.0,0.0,5
LNK.AX,LINK ADMIN FPO,Financial Services,Capital Markets,1.89,2.55,34.92,buy,85.71,14.29,7
WTT,"Wireless Telecom Group,  Inc.",Technology,Communication Equipment,2.08,2.25,8.17,buy,100.0,0.0,1
NKLA,Nikola Corporation,Industrials,Farm & Heavy Construction Machinery,1.29,3.29,155.04,hold,11.11,0.0,9
AJRD,"Aerojet Rocketdyne Holdings, In",Industrials,Aerospace & Defense,54.94,57.0,3.75,hold,60.0,20.0,5
EXP,Eagle Materials Inc,Basic Materials,Building Materials,174.37,187.55,7.56,buy,60.0,0.0,10
VSTO,Vista Outdoor Inc.,Consumer Cyclical,Leisure,27.03,38.2,41.32,buy,0.0,11.11,9
HLO.AX,HELLOWORLD FPO,Consumer Cyclical,Travel Services,2.47,3.21,29.96,buy,33.33,16.67,6
VTS,"Vitesse Energy, Inc.",Energy,Oil & Gas E&P,21.01,23.67,12.66,buy,100.0,0.0,3
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",69.85,65.17,-6.7,hold,50.0,0.0,4
IBS.LS,Ibersol-SGPS,Consumer Cyclical,Restaurants,6.54,10.7,63.61,strong_buy,50.0,0.0,2
WDP.BR,WAREHOUSES DE PAUW,Real Estate,REIT—Industrial,24.9,29.3,17.67,hold,0.0,0.0,3
KBNT,"Kubient, Inc.",Technology,Software—Application,0.48,1.5,212.5,buy,100.0,0.0,1
RSKD,Riskified Ltd.,Technology,Software—Application,4.88,7.0,43.44,buy,62.5,0.0,8
6436.T,AMANO CORPORATION,Technology,Scientific & Technical Instruments,2956.5,3100.0,4.85,buy,100.0,0.0,4
BGA.AX,BEGA FPO,Consumer Defensive,Packaged Foods,3.51,3.66,4.27,hold,60.0,0.0,5
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Banks—Diversified,8.24,9.28,12.62,strong_buy,100.0,0.0,1
EDSA,"Edesa Biotech, Inc.",Healthcare,Biotechnology,0.86,11.67,1256.98,buy,100.0,0.0,2
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,143.99,150.16,4.29,hold,64.29,3.57,28
9509.T,HOKKAIDO ELECTRIC POWER CO INC,Utilities,Utilities—Renewable,609.3,550.0,-9.73,hold,66.67,0.0,6
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,49.64,62.75,26.41,buy,46.15,7.69,13
6412.T,HEIWA CORP,Consumer Cyclical,Leisure,2453.0,3710.0,51.24,none,0.0,0.0,1
DCOM,"Dime Community Bancshares, Inc.",Financial Services,Banks—Regional,17.61,24.6,39.69,buy,40.0,20.0,5
TGLS,Tecnoglass Inc.,Basic Materials,Building Materials,48.28,54.5,12.88,strong_buy,0.0,0.0,1
TRKA,"Troika Media Group, Inc.",Communication Services,Advertising Agencies,2.39,37.5,1469.04,buy,100.0,0.0,1
CZOO,Cazoo Group Ltd,Consumer Cyclical,Auto & Truck Dealerships,1.27,2.33,83.46,hold,0.0,0.0,4
MMS.AX,MCMILLAN FPO,Industrials,Staffing & Employment Services,16.92,15.62,-7.68,hold,33.33,0.0,6
THS,"Treehouse Foods, Inc.",Consumer Defensive,Packaged Foods,51.86,58.67,13.13,buy,18.75,6.25,16
INWI.ST,Inwido AB,Industrials,Building Products & Equipment,93.95,160.0,70.3,buy,75.0,0.0,4
CODI,D/B/A Compass Diversified Holdi,Industrials,Conglomerates,20.65,26.33,27.51,buy,85.71,0.0,7
OEC,Orion Engineered Carbons S.A,Basic Materials,Specialty Chemicals,21.05,32.4,53.92,buy,62.5,0.0,8
6103.T,OKUMA CORPORATION,Industrials,Specialty Industrial Machinery,7448.0,6547.5,-12.09,hold,45.45,0.0,11
SNSE,"Sensei Biotherapeutics, Inc.",Healthcare,Biotechnology,1.31,5.33,306.87,buy,66.67,0.0,3
FWBI,"First Wave BioPharma, Inc.",Healthcare,Biotechnology,1.64,68.0,4046.34,buy,100.0,0.0,2
CARM,"Carisma Therapeutics, Inc.",Healthcare,Biotechnology,8.59,9.0,4.77,strong_buy,50.0,0.0,2
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,51.73,52.4,1.3,buy,66.67,0.0,3
LGND,Ligand Pharmaceuticals Incorpor,Healthcare,Biotechnology,73.09,114.33,56.42,buy,83.33,0.0,6
LVOX,"LiveVox Holdings, Inc.",Technology,Software—Infrastructure,2.93,3.29,12.29,buy,57.14,0.0,7
VIST,Vista Energy S.A.B. de C.V.,Energy,Oil & Gas E&P,23.33,26.23,12.43,buy,83.33,0.0,6
SO,Southern Company (The),Utilities,Utilities—Regulated Electric,70.45,73.57,4.43,buy,29.41,23.53,17
BG,Bunge Limited Bunge Limited,Consumer Defensive,Farm Products,94.04,126.55,34.57,buy,50.0,0.0,10
ADEA,Adeia Inc.,Technology,Software—Application,10.37,15.67,51.11,buy,100.0,0.0,3
TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services,23.74,30.08,26.71,hold,76.92,0.0,13
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment,9.48,14.25,50.32,buy,66.67,0.0,6
2270.T,MEGMILK SNOW BRAND CO.LTD,Consumer Defensive,Packaged Foods,1915.0,1772.5,-7.44,hold,66.67,0.0,3
UBAB,UNITED BANCORP OF ALABAMA INC,Financial Services,Banks—Regional,37.25,45.0,20.81,strong_buy,100.0,0.0,1
PAG.L,PARAGON BANKING GROUP PLC ORD 1,Financial Services,Mortgage Finance,518.0,699.6,35.06,buy,66.67,13.33,15
QTRX,Quanterix Corporation,Healthcare,Medical Devices,22.43,22.75,1.43,hold,100.0,0.0,4
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software—Infrastructure,38.62,40.0,3.57,hold,35.71,14.29,14
LEA,Lear Corporation,Consumer Cyclical,Auto Parts,136.39,153.47,12.52,buy,42.11,15.79,19
PRI,"Primerica, Inc.",Financial Services,Insurance—Life,188.93,202.2,7.02,buy,0.0,0.0,5
WAVE.PA,WAVESTONE,Technology,Information Technology Services,48.2,54.4,12.86,buy,50.0,0.0,2
CFP.TO,CANFOR CORP,Basic Materials,Lumber & Wood Production,20.8,29.0,39.42,buy,33.33,16.67,6
VTEX,VTEX,Technology,Software—Application,4.56,5.59,22.59,buy,60.0,0.0,10
EQH,"Equitable Holdings, Inc.",Financial Services,Insurance—Diversified,25.43,35.08,37.95,buy,63.64,0.0,11
BANR,Banner Corporation,Financial Services,Banks—Regional,43.7,59.5,36.16,buy,28.57,0.0,7
CRWS,"Crown Crafts, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",5.16,7.5,45.35,hold,100.0,0.0,1
CASA,"Casa Systems, Inc.",Technology,Communication Equipment,1.42,3.0,111.27,buy,71.43,0.0,7
9042.T,HANKYU HANSHIN HOLDINGS INC,Industrials,Conglomerates,4736.0,4266.7,-9.91,buy,42.86,0.0,7
ARVN,"Arvinas, Inc.",Healthcare,Biotechnology,25.47,71.1,179.15,buy,66.67,0.0,3
REDD.L,REDDE NORTHGATE PLC ORD 50P,Industrials,Rental & Leasing Services,358.5,463.5,29.29,buy,100.0,0.0,1
2002.T,NISSHIN SEIFUN GROUP INC,Consumer Defensive,Packaged Foods,1831.0,1934.0,5.63,hold,0.0,0.0,5
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,47.15,62.08,31.66,buy,71.88,0.0,32
NTRB,Nutriband Inc.,Healthcare,Biotechnology,2.29,18.0,686.03,buy,100.0,0.0,1
OTTR,Otter Tail Corporation,Utilities,Utilities—Diversified,73.9,67.5,-8.66,hold,33.33,0.0,3
GFC.PA,GECINA,Real Estate,REIT—Office,93.85,113.1,20.51,buy,42.86,7.14,14
WWD,"Woodward, Inc.",Industrials,Aerospace & Defense,114.15,108.38,-5.05,hold,37.5,0.0,8
ONTX,"Onconova Therapeutics, Inc.",Healthcare,Biotechnology,1.07,7.5,600.93,strong_buy,100.0,0.0,4
LOV,Spark Networks SE,Communication Services,Internet Content & Information,0.28,1.5,435.71,buy,100.0,0.0,1
OFSTF,CARBON STREAMING CORPORATION,Financial Services,Asset Management,1.08,4.09,278.7,buy,66.67,0.0,3
JDW.L,WETHERSPOON ( J.D.) PLC ORD 2P,Consumer Cyclical,Restaurants,659.0,770.45,16.91,hold,18.75,50.0,16
