Ticker,Name,Sector,Industry,Price,Div_Yield,PE,Ind_PE,PEG,Ind_PEG,PB,Ind_PB,EV_EBITDA,Ind_EV_EBITDA,EV_Sales,Ind_EV_Sales,Debt_EBITDA,Ind_Debt_EBITDA,Beta,Short_Perc_Float
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,69.63,0.66,24.87,19.29,2.09,1.94,4.08,5.03,19.35,17.38,6.21,4.16,3.44,2.59,0.76,1.03
ALSN,"Allison Transmission Holdings, ",Consumer Cyclical,Auto Parts,59.14,1.55,8.55,12.02,0.89,0.86,5.47,2.6,7.77,9.9,2.67,1.45,2.59,2.66,1.0,2.43
HT,Hersha Hospitality Trust,Real Estate,REIT—Hotel & Motel,6.37,3.14,-9.23,9.94,-0.32,-0.64,0.38,7.25,7.4,11.07,1.93,2.97,6.19,5.55,2.01,3.21
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,60.16,1.21,11.7,8.79,-0.81,-0.58,2.63,2.99,4.22,3.81,2.32,2.6,1.06,0.65,1.78,9.55
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,22.0,2.19,7.72,17.62,0.98,1.91,7.78,3.73,6.63,14.02,0.34,0.95,3.65,5.78,0.38,5.5
GPS,"Gap, Inc. (The)",Consumer Cyclical,Apparel Retail,9.37,6.33,11.29,11.25,-5.01,-0.89,1.58,4.09,12.34,9.37,0.52,1.06,8.97,3.3,1.93,23.23
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,135.35,3.49,19.2,21.16,2.29,3.8,63.51,595.61,15.38,19.15,2.66,2.73,2.48,5.2,0.42,1.49
CSR,D/B/A Centerspace,Real Estate,REIT—Residential,63.15,4.57,-54.44,66.32,6.86,12.09,1.43,2.7,17.43,20.78,8.29,10.99,7.3,6.27,0.95,2.07
BKE,"Buckle, Inc. (The)",Consumer Cyclical,Apparel Retail,35.22,4.12,8.29,11.25,1.12,-0.89,4.3,4.09,5.2,9.37,1.29,1.06,0.91,3.3,1.0,9.63
RTX,Raytheon Technologies Corporati,Industrials,Aerospace & Defense,95.57,2.46,16.53,21.23,1.77,3.57,1.92,3.47,14.46,16.41,2.51,2.75,3.04,2.87,0.73,0.66
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities—Regulated Electric,91.65,4.44,15.33,16.83,2.81,1.98,1.49,1.91,12.25,12.76,5.31,4.19,6.21,5.63,0.42,1.05
MMM,3M Company,Industrials,Conglomerates,103.48,5.82,10.82,13.14,6.46,0.56,3.73,3.54,10.21,11.46,2.09,1.7,2.48,3.48,0.95,2.03
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,117.84,0.85,18.02,19.03,1.53,8.25,4.48,6.89,10.98,10.65,1.74,1.15,1.1,2.62,1.12,1.87
DNB,"Dun & Bradstreet Holdings, Inc.",Financial Services,Financial Data & Stock Exchanges,12.34,1.71,11.12,23.83,-12.54,1.16,1.57,6.85,13.55,23.04,3.95,9.04,5.6,3.21,1.04,5.74
PXD,Pioneer Natural Resources Compa,Energy,Oil & Gas E&P,210.11,10.99,9.57,8.79,-1.77,-0.58,2.25,2.99,4.65,3.81,2.37,2.6,0.54,0.65,1.45,1.48
IMMR,Immersion Corporation,Technology,Software—Application,6.98,1.69,8.72,20.59,0.61,17.8,1.37,5.7,3.41,20.89,2.16,5.68,0.01,2.75,1.41,3.59
NSSC,"NAPCO Security Technologies, In",Industrials,Security & Protection Services,37.1,0.67,31.98,17.05,24.48,4.97,9.69,5.8,32.95,14.36,7.79,3.22,0.15,2.2,1.09,20.5
KFRC,"Kforce, Inc.",Industrials,Staffing & Employment Services,66.31,2.17,16.54,15.08,1.11,0.28,6.93,8.79,11.54,10.52,0.78,1.79,0.35,1.05,0.91,10.37
JHG,Janus Henderson Group plc,Financial Services,Asset Management,29.55,5.32,11.92,12.37,3.24,1.86,1.12,3.49,7.8,13.34,1.86,3.11,0.62,2.9,1.42,2.0
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,5.71,5.32,4.26,8.98,0.51,1.1,0.67,1.23,7.74,7.75,0.82,0.64,5.76,3.54,1.84,1.91
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,1443.1,0.93,23.6,8.79,1.47,-0.58,13.39,2.99,18.26,3.81,15.29,2.6,0.0,0.65,1.84,4.93
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,18.45,1.07,11.25,13.13,0.39,0.34,1.39,3.21,10.92,10.91,1.18,2.2,2.88,1.98,1.9,4.5
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,56.99,1.39,18.5,12.36,3.85,14.6,3.89,2.36,14.25,11.58,1.99,1.5,2.79,2.86,0.88,23.06
LUV,Southwest Airlines Company,Industrials,Airlines,37.35,1.94,9.75,7.73,0.24,0.23,2.16,2.98,9.1,7.71,0.78,1.11,4.41,3.54,1.18,3.79
TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,37.65,2.63,4.28,10.28,0.94,1.35,1.03,5.9,3.08,8.52,1.22,3.75,0.88,3.58,-0.09,3.86
MMS,"Maximus, Inc.",Industrials,Specialty Business Services,86.93,1.29,22.46,18.53,2.18,2.02,3.3,3.53,15.9,16.99,1.41,3.51,3.49,3.78,0.7,2.73
VNT,Vontier Corporation,Technology,Scientific & Technical Instruments,32.49,0.31,10.28,24.16,3.08,4.11,7.95,4.55,10.45,20.8,2.32,4.68,3.62,2.3,1.28,0.8
EPR,EPR Properties,Real Estate,REIT—Specialty,45.27,7.24,18.11,30.83,2.56,62.8,1.35,6.83,12.19,18.91,9.56,9.08,5.82,6.43,1.67,4.85
HI,Hillenbrand Inc,Industrials,Specialty Industrial Machinery,52.53,1.66,13.47,19.72,1.29,2.23,2.24,4.77,8.71,15.78,1.5,3.15,2.61,2.33,1.48,1.96
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,52.27,3.67,15.11,18.42,4.35,-6.29,0.96,1.26,7.67,-30.37,0.51,0.83,2.52,-3.31,0.77,2.32
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,91.73,1.67,14.16,15.76,1.72,-0.32,7.68,9.08,13.72,28.89,6.69,8.82,1.61,1.66,1.6,4.22
MKSI,"MKS Instruments, Inc.",Technology,Scientific & Technical Instruments,106.54,0.82,18.69,24.16,-3.63,4.11,1.6,4.55,14.44,20.8,3.17,4.68,6.55,2.3,1.55,4.75
MAC,Macerich Company (The),Real Estate,REIT—Retail,12.81,5.73,-128.1,37.98,-202.14,-8.65,0.99,2.46,17.15,18.33,8.69,11.66,10.68,7.04,2.13,12.78
SNX,TD SYNNEX Corporation,Technology,Electronics & Computer Distribution,98.76,1.42,8.31,10.68,1.59,1.21,1.11,1.76,7.01,7.29,0.2,0.33,2.3,1.28,1.53,3.09
KRP,Kimbell Royalty Partners,Energy,Oil & Gas E&P,15.13,12.48,15.93,8.79,4.69,-0.58,1.66,2.99,6.34,3.81,5.01,2.6,1.03,0.65,1.33,0.88
GL,Globe Life Inc.,Financial Services,Insurance—Life,112.44,0.82,9.99,8.18,0.72,0.71,2.8,1.84,12.33,52.82,2.36,1.67,2.13,40.86,0.78,1.03
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,150.26,1.64,18.28,15.71,1.52,0.89,4.95,3.64,17.16,15.3,2.38,2.25,3.31,4.5,1.19,0.55
RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,321.09,0.61,38.78,17.64,3.17,0.04,20.82,7.65,38.26,19.5,11.33,4.42,1.71,6.02,1.02,12.02
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,58.58,0.48,41.84,24.16,19.65,4.11,6.99,4.55,43.66,20.8,10.56,4.68,0.18,2.3,1.55,2.13
NXRT,"NexPoint Residential Trust, Inc",Real Estate,REIT—Residential,47.18,3.51,-94.36,66.32,20.84,12.09,2.48,2.7,20.51,20.78,10.25,10.99,12.22,6.27,1.1,2.45
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,26.18,16.19,10.95,10.28,0.35,1.35,1.21,5.9,6.46,8.52,4.3,3.75,3.15,3.58,1.17,7.18
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,112.37,0.99,22.43,18.32,0.68,3.98,22.6,4.46,18.87,15.9,3.94,2.17,3.22,3.59,0.54,1.98
LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,157.38,1.0,13.23,10.28,0.22,1.35,20.12,5.9,4.57,8.52,1.97,3.75,1.89,3.58,1.02,1.2
BLK,"BlackRock, Inc.",Financial Services,Asset Management,747.3,2.71,18.47,12.37,2.13,1.86,2.97,3.49,17.34,13.34,6.53,3.11,1.3,2.9,1.28,1.24
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,103.47,1.33,14.72,15.71,2.26,0.89,2.39,3.64,10.88,15.3,1.24,2.25,0.22,4.5,1.17,0.75
HOFT,Hooker Furnishings Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",20.96,4.29,9.89,10.34,0.92,1.11,0.98,22.36,11.83,9.35,0.51,0.88,3.84,4.04,1.02,3.59
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,254.9,1.42,18.57,28.49,2.16,5.05,2.82,5.1,18.55,23.57,4.74,5.92,3.79,2.33,0.59,0.72
GVA,Granite Construction Incorporat,Industrials,Engineering & Construction,43.32,1.28,10.39,18.24,2.02,4.2,2.05,3.78,12.94,15.1,0.54,1.32,2.48,2.45,1.41,14.41
MTH,Meritage Homes Corporation,Consumer Cyclical,Residential Construction,146.29,0.74,8.96,10.33,-0.56,2.53,1.32,2.23,4.74,6.25,0.89,1.08,0.99,1.42,1.64,3.59
DAN,Dana Incorporated,Consumer Cyclical,Auto Parts,18.46,2.22,13.09,12.02,0.35,0.86,1.66,2.6,8.33,9.9,0.52,1.45,4.58,2.66,2.45,3.68
SHO,"Sunstone Hotel Investors, Inc. ",Real Estate,REIT—Hotel & Motel,10.09,2.0,42.04,9.94,1.59,-0.64,1.17,7.25,11.94,11.07,3.13,2.97,3.23,5.55,1.29,9.02
EQR,Equity Residential,Real Estate,REIT—Residential,68.06,3.87,42.01,66.32,2.6,12.09,2.32,2.7,19.69,20.78,12.2,10.99,4.42,6.27,0.84,2.08
STAG,"Stag Industrial, Inc.",Real Estate,REIT—Industrial,37.45,3.93,52.01,108.81,6.95,-10.63,2.0,3.07,18.91,23.49,13.72,14.66,5.12,5.99,1.01,5.4
BDN,Brandywine Realty Trust,Real Estate,REIT—Office,4.92,16.41,-37.85,-11.92,-5.18,-16.06,0.53,0.8,12.93,14.28,5.95,7.38,9.74,8.54,1.16,14.6
POR,Portland General Electric Co,Utilities,Utilities—Regulated Electric,46.99,4.04,15.41,16.83,3.02,1.98,1.46,1.91,9.98,12.76,3.03,4.19,4.6,5.63,0.56,10.77
OLED,Universal Display Corporation,Technology,Electronic Components,147.07,0.95,30.45,16.85,3.26,1.71,5.36,3.21,21.83,11.76,10.64,2.6,0.11,1.7,1.34,2.88
PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,123.31,2.72,24.76,15.08,2.93,0.28,12.73,8.79,19.8,10.52,8.74,1.79,0.4,1.05,0.97,2.49
BMI,"Badger Meter, Inc.",Technology,Scientific & Technical Instruments,145.65,0.61,49.21,24.16,4.33,4.11,9.32,4.55,34.98,20.8,7.07,4.68,0.05,2.3,0.86,5.19
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,135.87,3.73,17.22,12.57,-1.01,0.67,3.22,4.07,7.65,9.66,1.72,1.43,1.49,3.59,0.9,3.08
EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,39.41,1.56,13.93,21.16,3.74,3.8,1.34,595.61,10.17,19.15,1.47,2.73,4.61,5.2,0.96,8.08
IRT,"Independence Realty Trust, Inc.",Real Estate,REIT—Residential,17.56,3.55,58.53,66.32,-13.7,12.09,1.1,2.7,19.4,20.78,10.61,10.99,7.55,6.27,1.0,4.44
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,766.05,0.98,19.77,18.58,0.76,2.72,14.05,7.08,15.86,13.83,2.62,2.04,1.06,1.31,1.22,2.77
FTAI,FTAI Aviation Ltd.,Industrials,Rental & Leasing Services,33.39,3.59,17.39,12.05,0.26,0.53,45.31,6.77,12.01,10.61,5.93,4.38,4.68,5.01,1.92,7.65
HIW,"Highwoods Properties, Inc.",Real Estate,REIT—Office,26.26,7.62,25.01,-11.92,2.33,-16.06,1.13,0.8,12.56,14.28,7.29,7.38,6.71,8.54,1.16,4.48
MTG,MGIC Investment Corporation,Financial Services,Insurance—Specialty,16.59,2.45,7.47,9.57,2.42,1.23,1.0,1.33,4.3,9.96,4.35,2.6,0.56,2.69,1.3,3.89
RLJ,RLJ Lodging Trust,Real Estate,REIT—Hotel & Motel,10.09,2.58,22.42,9.94,0.27,-0.64,0.79,7.25,11.16,11.07,2.98,2.97,6.89,5.55,1.74,9.51
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,74.38,3.39,8.38,12.66,1.84,1.32,1.33,3.0,7.85,10.0,0.46,0.69,3.99,2.84,0.6,1.39
HUM,Humana Inc.,Healthcare,Healthcare Plans,447.26,0.81,13.95,12.66,1.1,1.32,3.37,3.0,7.5,10.0,0.39,0.69,2.39,2.84,0.67,1.74
SKT,"Tanger Factory Outlet Centers, ",Real Estate,REIT—Retail,23.78,4.12,30.1,37.98,4.66,-8.65,5.17,2.46,16.74,18.33,8.49,11.66,6.63,7.04,1.76,13.28
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,425.18,0.92,25.58,23.83,2.08,1.16,9.73,6.85,23.37,23.04,8.59,9.04,2.53,3.21,0.82,2.3
RBA,Ritchie Bros. Auctioneers Incor,Industrials,Specialty Business Services,62.18,1.72,20.19,18.53,3.45,2.02,2.33,3.53,34.72,16.99,8.56,3.51,10.13,3.78,0.93,4.44
VOYA,"Voya Financial, Inc.",Financial Services,Financial Conglomerates,73.97,1.08,8.01,8.01,0.62,0.62,1.84,1.84,17.78,17.78,1.9,1.9,5.87,5.87,1.15,3.48
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,89.01,1.14,13.84,12.47,-1.05,0.91,3.35,2.82,10.89,11.82,1.71,1.24,2.49,2.95,0.98,2.03
ES,Eversource Energy (D/B/A),Utilities,Utilities—Regulated Electric,72.15,3.78,15.48,16.83,2.47,1.98,1.6,1.91,13.26,12.76,3.9,4.19,6.43,5.63,0.48,1.59
AA,Alcoa Corporation,Basic Materials,Aluminum,34.84,1.16,13.0,13.59,-56.98,-28.18,1.33,1.66,7.48,13.14,0.72,0.72,1.62,5.3,2.44,5.08
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,65.63,0.38,27.93,15.76,3.06,-0.32,3.64,9.08,36.81,28.89,10.09,8.82,3.09,1.66,1.4,2.66
CLAR,Clarus Corporation,Consumer Cyclical,Leisure,8.77,1.15,8.2,12.36,1.21,14.6,1.11,2.36,10.73,11.58,1.08,1.5,3.56,2.86,0.96,17.61
SCL,Stepan Company,Basic Materials,Specialty Chemicals,96.4,1.57,15.5,15.71,4.8,0.89,1.81,3.64,10.33,15.3,0.99,2.25,2.94,4.5,0.81,2.76
AWR,American States Water Company,Utilities,Utilities—Regulated Water,87.77,1.83,29.45,27.77,6.45,5.39,4.44,3.14,19.74,18.84,7.34,7.75,3.89,4.8,0.39,3.34
HCI,"HCI Group, Inc.",Financial Services,Insurance—Property & Casualty,58.79,2.7,25.12,13.32,1.27,-6.63,2.8,2.28,-15.08,8.69,0.97,1.62,-6.13,-0.38,0.86,23.1
SCI,Service Corporation Internation,Consumer Cyclical,Personal Services,66.62,1.61,17.26,21.38,1.58,1.66,6.24,8.14,12.88,16.48,3.58,3.82,3.94,2.8,0.77,6.2
INT,World Fuel Services Corporation,Energy,Oil & Gas Refining & Marketing,24.26,2.32,9.67,13.72,2.24,13.0,0.75,4.72,5.28,6.76,0.04,0.71,1.9,2.84,1.28,3.07
WTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers,226.72,1.46,13.35,19.29,0.95,1.94,2.39,5.03,12.34,17.38,3.23,4.16,2.34,2.59,0.77,1.19
CHE,Chemed Corp,Healthcare,Medical Care Facilities,546.81,0.28,24.03,21.06,2.92,2.27,9.29,4.7,21.64,16.59,3.84,2.4,0.43,3.98,0.53,5.08
AFL,AFLAC Incorporated,Financial Services,Insurance—Life,71.32,2.39,11.81,8.18,2.6,0.71,2.18,1.84,9.66,52.82,2.48,1.67,2.31,40.86,0.94,1.91
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,45.95,1.74,11.63,12.57,8.11,0.67,19.15,4.07,10.56,9.66,2.02,1.43,4.62,3.59,1.25,2.99
KW,Kennedy-Wilson Holdings Inc.,Real Estate,Real Estate Services,17.19,5.69,50.56,31.51,-2.63,-3.28,1.8,3.52,39.51,66.9,14.68,3.44,26.82,6.62,1.2,8.52
SCS,Steelcase Inc.,Industrials,Business Equipment & Supplies,7.99,5.25,9.4,8.98,1.18,1.1,1.1,1.23,6.79,7.75,0.46,0.64,3.0,3.54,1.39,4.0
PCTI,"PCTEL, Inc.",Technology,Communication Equipment,5.06,4.35,10.77,12.3,1.49,3.5,1.37,22.97,8.45,-2.99,0.69,2.0,0.47,-0.29,0.43,0.63
STVN,Stevanato Group S.p.A.,Healthcare,Medical Instruments & Supplies,33.61,0.18,44.22,28.49,10.18,5.05,8.63,5.1,35.12,23.57,8.86,5.92,0.89,2.33,0.85,3.4
JBL,Jabil Inc.,Technology,Electronic Components,115.14,0.28,12.38,16.85,1.18,1.71,5.53,3.21,6.97,11.76,0.49,2.6,1.52,1.7,1.47,2.89
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,32.57,4.35,11.39,18.32,1.53,3.98,1.78,4.46,11.39,15.9,2.03,2.17,4.34,3.59,0.53,3.79
CRAI,"CRA International,Inc.",Industrials,Consulting Services,104.7,1.38,16.91,23.63,1.87,2.33,3.72,66.35,13.13,20.85,1.55,5.32,3.12,3.02,1.28,3.03
WCN,"Waste Connections, Inc.",Industrials,Waste Management,140.85,0.72,29.65,29.62,2.86,2.05,5.01,5.43,19.07,15.77,5.8,4.36,3.15,3.74,0.67,0.83
MGPI,"MGP Ingredients, Inc.",Consumer Defensive,Beverages—Wineries & Distilleries,114.09,0.43,20.56,20.35,2.38,2.24,3.23,4.47,16.84,17.46,3.45,4.8,1.49,2.64,0.94,15.22
RELL,"Richardson Electronics, Ltd.",Technology,Electronic Components,15.55,1.54,12.96,16.85,0.55,1.71,1.42,3.21,6.15,11.76,0.75,2.6,0.07,1.7,0.78,6.87
AEP,American Electric Power Company,Utilities,Utilities—Regulated Electric,85.37,3.88,15.22,16.83,3.08,1.98,1.85,1.91,12.55,12.76,4.42,4.19,6.25,5.63,0.45,1.29
TSE,Trinseo PLC,Basic Materials,Specialty Chemicals,16.79,0.22,14.6,15.71,0.34,0.89,1.57,3.64,59.26,15.3,0.61,2.25,50.97,4.5,1.46,8.15
FCFS,"FirstCash Holdings, Inc.",Financial Services,Credit Services,97.88,1.35,14.63,14.11,1.56,5.01,2.38,16.12,7.7,16.29,2.11,8.18,2.11,5.94,0.81,0.78
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT—Specialty,62.23,4.16,31.27,30.83,6.13,62.8,33.26,6.83,17.75,18.91,6.01,9.08,7.87,6.43,0.95,4.84
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,92.5,3.07,7.99,12.05,-0.5,0.53,1.43,6.77,4.24,10.61,0.93,4.38,2.69,5.01,1.55,2.82
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REIT—Healthcare Facilities,12.85,9.34,29.2,43.56,6.16,0.17,1.0,1.52,16.73,17.53,9.98,10.25,7.54,7.57,1.3,7.39
TPB,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,24.75,1.07,9.03,9.03,1.78,1.78,3.67,3.67,8.9,8.9,1.76,1.76,4.95,4.95,0.49,1.68
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,105.3,1.61,11.4,13.94,-0.44,0.19,2.15,1.55,3.83,5.95,0.85,0.71,0.63,1.56,1.53,4.1
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,12.11,4.15,6.34,8.79,0.66,-0.58,1.41,2.99,2.08,3.81,1.51,2.6,0.86,0.65,1.23,19.34
NMM,Navios Maritime Partners LP,Industrials,Marine Shipping,23.06,0.87,1.74,5.57,0.05,-2.91,0.29,0.76,4.44,4.45,2.08,2.3,3.61,2.51,2.03,1.42
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,247.82,1.05,25.13,19.72,2.1,2.23,5.66,4.77,20.13,15.78,5.78,3.15,1.44,2.33,0.95,1.65
PPL,PPL Corporation,Utilities,Utilities—Regulated Electric,27.0,3.56,15.79,16.83,0.97,1.98,1.42,1.91,12.37,12.76,3.99,4.19,5.31,5.63,0.8,1.55
PFG,Principal Financial Group Inc,Financial Services,Asset Management,82.51,3.1,10.96,12.37,1.79,1.86,1.96,3.49,3.46,13.34,1.16,3.11,0.89,2.9,1.3,2.37
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,128.6,2.33,12.24,10.19,1.1,1.86,3.47,2.79,10.06,9.8,1.51,1.24,2.98,2.86,1.41,26.35
ALG,"Alamo Group, Inc.",Industrials,Farm & Heavy Construction Machinery,197.82,0.46,16.79,12.47,2.61,0.91,2.85,2.82,11.94,11.82,1.65,1.24,1.8,2.95,1.0,0.87
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,30.9,7.36,12.66,10.28,1.33,1.35,5.98,5.9,4.71,8.52,3.6,3.75,3.09,3.58,1.58,7.07
CHDN,"Churchill Downs, Incorporated",Consumer Cyclical,Gambling,132.72,0.27,16.86,18.26,0.74,0.74,14.1,9.39,24.44,16.58,7.08,5.0,7.62,5.94,1.11,2.31
ESNT,Essent Group Ltd.,Financial Services,Insurance—Specialty,49.25,2.06,7.5,9.57,0.78,1.23,1.14,1.33,5.96,9.96,5.32,2.6,0.47,2.69,1.15,1.04
CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,15.5,2.6,8.76,12.47,0.94,0.91,2.84,2.82,12.42,11.82,1.72,1.24,7.09,2.95,1.68,1.74
VHI,"Valhi, Inc.",Basic Materials,Chemicals,15.46,2.07,4.22,8.88,0.36,1.05,0.46,1.4,6.92,7.61,0.46,1.18,4.19,3.34,1.46,2.35
HEP,"Holly Energy Partners, L.P.",Energy,Oil & Gas Midstream,18.81,7.44,8.67,10.28,-8.07,1.35,2.73,5.9,12.28,8.52,7.21,3.75,4.81,3.58,0.87,1.81
FOX,Fox Corporation,Communication Services,Entertainment,31.68,1.58,13.48,18.19,2.72,3.43,1.57,11.61,6.33,11.84,1.36,2.45,2.56,4.23,0.88,2.15
WLY,"John Wiley & Sons, Inc.",Communication Services,Publishing,34.81,4.06,11.88,18.81,6.38,4.6,1.84,2.46,8.49,13.16,1.32,1.63,2.8,1.19,1.0,3.52
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,33.97,7.68,7.24,191.6,-9.45,-2.56,1.54,2.33,6.82,9.69,2.41,3.78,3.87,3.46,0.35,1.13
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,171.45,3.06,17.58,16.3,2.13,1.3,9.42,6.64,16.68,14.35,2.52,2.33,3.77,4.66,1.23,7.77
SJM,J.M. Smucker Company (The) New,Consumer Defensive,Packaged Foods,149.69,2.87,14.81,18.32,2.57,3.98,2.14,4.46,11.52,15.9,2.17,2.17,2.75,3.59,0.22,4.57
PII,Polaris Inc.,Consumer Cyclical,Recreational Vehicles,135.35,1.97,12.84,11.01,0.87,0.57,6.68,2.86,8.7,8.06,1.06,1.07,2.01,2.74,1.65,13.17
CABO,"Cable One, Inc.",Communication Services,Telecom Services,718.69,1.67,13.53,191.6,1.4,-2.56,2.35,2.33,8.18,9.69,4.29,3.78,4.3,3.46,0.86,5.39
PARA,Paramount Global,Communication Services,Entertainment,16.04,1.29,12.06,18.19,8.21,3.43,0.48,11.61,9.11,11.84,0.84,2.45,6.1,4.23,1.68,12.83
DDS,"Dillard's, Inc.",Consumer Cyclical,Department Stores,321.68,0.25,9.8,8.53,-0.52,-0.32,3.15,2.76,3.89,6.22,0.69,0.54,0.45,3.7,0.99,47.91
SXI,Standex International Corporati,Industrials,Specialty Industrial Machinery,143.27,0.8,19.68,19.72,1.57,2.23,2.79,4.77,12.18,15.78,2.3,3.15,1.51,2.33,1.18,0.83
MNRO,"Monro, Inc.",Consumer Cyclical,Auto Parts,39.43,2.82,20.75,12.02,1.57,0.86,1.78,2.6,12.03,9.9,1.43,1.45,4.23,2.66,1.0,20.48
SXC,"SunCoke Energy, Inc.",Basic Materials,Coking Coal,8.26,3.87,13.11,8.58,1.35,0.65,1.17,1.21,4.21,2.9,0.58,0.75,1.91,1.04,1.28,2.45
CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities—Regulated Water,20.7,1.66,21.34,27.77,2.69,5.39,1.99,3.14,15.83,18.84,2.59,7.75,0.13,4.8,0.27,4.35
DAC,Danaos Corporation,Industrials,Marine Shipping,67.38,4.47,2.59,5.57,0.8,-2.91,0.51,0.76,2.09,4.45,1.47,2.3,0.69,2.51,1.58,6.13
KOP,Koppers Holdings Inc. Koppers H,Basic Materials,Specialty Chemicals,36.76,0.65,8.11,15.71,0.45,0.89,1.78,3.64,8.29,15.3,0.84,2.25,4.74,4.5,1.87,1.56
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,10.63,3.38,9.58,18.42,-21.22,-6.29,0.98,1.26,5.96,-30.37,1.72,0.83,3.29,-3.31,0.99,3.88
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT—Residential,194.43,3.33,38.42,66.32,-4.02,12.09,2.43,2.7,21.77,20.78,13.47,10.99,4.97,6.27,0.94,1.81
CRC,California Resources Corporatio,Energy,Oil & Gas E&P,48.12,2.39,7.91,8.79,1.26,-0.58,1.62,2.99,2.42,3.81,1.01,2.6,0.45,0.65,1.68,8.89
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance—Property & Casualty,170.56,2.41,10.03,13.32,1.09,-6.63,1.71,2.28,9.8,8.69,1.1,1.62,1.72,-0.38,0.61,1.37
PTVE,Pactiv Evergreen Inc.,Consumer Cyclical,Packaging & Containers,8.41,4.81,7.93,12.57,-1.0,0.67,1.07,4.07,5.95,9.66,0.86,1.43,4.76,3.59,1.35,4.77
NXST,"Nexstar Media Group, Inc.",Communication Services,Entertainment,182.04,2.95,6.26,18.19,2.52,3.43,2.5,11.61,7.15,11.84,2.54,2.45,3.86,4.23,1.48,5.91
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,15.77,6.34,9.22,14.98,1.54,2.2,0.72,5.12,10.07,12.69,0.79,2.17,6.27,2.8,1.69,9.2
ROIC,Retail Opportunity Investments ,Real Estate,REIT—Retail,14.32,4.33,40.91,37.98,5.84,-8.65,1.39,2.46,16.65,18.33,10.17,11.66,7.21,7.04,1.41,3.3
TAC,TransAlta Corporation,Utilities,Utilities—Independent Power Producers,9.99,1.66,30.27,15.11,0.87,-0.36,5.92,4.25,5.41,-1.84,2.26,1.53,3.13,-1.27,1.05,0.33
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,66.25,0.85,46.65,28.49,9.33,5.05,5.35,5.1,35.44,23.57,8.3,5.92,0.42,2.33,0.97,3.74
